Date,AAPL,AAPL TweetCount,ABBV,ABBV TweetCount,ABT,ABT TweetCount,ACN,ACN TweetCount,ADBE,ADBE TweetCount,AIG,AIG TweetCount,AMD,AMD TweetCount,AMGN,AMGN TweetCount,AMT,AMT TweetCount,AMZN,AMZN TweetCount,AVGO,AVGO TweetCount,AXP,AXP TweetCount,BA,BA TweetCount,BAC,BAC TweetCount,BK,BK TweetCount,BKNG,BKNG TweetCount,BLK,BLK TweetCount,BMY,BMY TweetCount,BRK-B,BRK-B TweetCount,C,C TweetCount,CAT,CAT TweetCount,CHTR,CHTR TweetCount,CL,CL TweetCount,CMCSA,CMCSA TweetCount,COF,COF TweetCount,COP,COP TweetCount,COST,COST TweetCount,CRM,CRM TweetCount,CSCO,CSCO TweetCount,CVS,CVS TweetCount,CVX,CVX TweetCount,DHR,DHR TweetCount,DIS,DIS TweetCount,DOW,DOW TweetCount,DUK,DUK TweetCount,EMR,EMR TweetCount,EXC,EXC TweetCount,F,F TweetCount,FDX,FDX TweetCount,GD,GD TweetCount,GE,GE TweetCount,GILD,GILD TweetCount,GM,GM TweetCount,GOOG,GOOG TweetCount,GOOGL,GOOGL TweetCount,GS,GS TweetCount,HD,HD TweetCount,HON,HON TweetCount,IBM,IBM TweetCount,INTC,INTC TweetCount,JNJ,JNJ TweetCount,JPM,JPM TweetCount,KHC,KHC TweetCount,KO,KO TweetCount,LIN,LIN TweetCount,LLY,LLY TweetCount,LMT,LMT TweetCount,LOW,LOW TweetCount,MA,MA TweetCount,MCD,MCD TweetCount,MDLZ,MDLZ TweetCount,MDT,MDT TweetCount,MET,MET TweetCount,META,META TweetCount,MMM,MMM TweetCount,MO,MO TweetCount,MRK,MRK TweetCount,MS,MS TweetCount,MSFT,MSFT TweetCount,NEE,NEE TweetCount,NFLX,NFLX TweetCount,NKE,NKE TweetCount,NVDA,NVDA TweetCount,ORCL,ORCL TweetCount,PEP,PEP TweetCount,PFE,PFE TweetCount,PG,PG TweetCount,PM,PM TweetCount,PYPL,PYPL TweetCount,QCOM,QCOM TweetCount,RTX,RTX TweetCount,SBUX,SBUX TweetCount,SCHW,SCHW TweetCount,SO,SO TweetCount,SPG,SPG TweetCount,T,T TweetCount,TGT,TGT TweetCount,TMO,TMO TweetCount,TMUS,TMUS TweetCount,TSLA,TSLA TweetCount,TXN,TXN TweetCount,UNH,UNH TweetCount,UNP,UNP TweetCount,UPS,UPS TweetCount,USB,USB TweetCount,V,V TweetCount,VZ,VZ TweetCount,WBA,WBA TweetCount,WFC,WFC TweetCount,WMT,WMT TweetCount,XOM,XOM TweetCount
2022-10-21,0.653330893,100,0.888714736,6,0.99636887,4,0.986474693,1,0.497088246,2,0.0,0,0.627361474,44,0.997743487,1,0.0,0,0.764518057,45,0.0,0,0.694299418,62,0.621929396,8,0.11151569,11,0.39848179,3,0.493666078,2,0.0,0,0.996290341,4,0.997254848,1,0.993939444,4,0.890081172,100,0.986474693,1,0.995438218,2,0.997135639,1,0.665486872,1,0.996606052,4,0.82534432,7,0.795087567,7,0.496807503,4,0.665486872,1,0.498055553,8,0.624228333,5,0.499955355,6,0.326441109,2,0.007336637,2,0.127600705,8,0.997731507,1,0.736496903,6,0.990240673,3,0.0,0,0.672490904,3,0.789571121,4,0.996537089,5,0.607499355,18,0.756707223,21,0.550300279,7,0.816797713,3,0.996102273,1,0.994391441,9,0.815727033,13,0.651342589,12,0.99297668,4,0.0,0,0.723732623,5,0.0,0,0.554784162,9,0.780987382,5,0.511217845,2,0.702855041,3,0.99047479,2,0.0,0,0.997742891,2,0.0,0,0.553078972,100,0.004905604,2,0.0,0,0.554115049,3,0.757159978,3,0.55958656,20,0.997636199,1,0.792069672,100,0.565855294,12,0.672530951,32,0.673605485,20,0.024401689,1,0.669504436,13,0.507035387,2,0.958903623,5,0.780365105,7,0.555788005,3,0.0,0,0.743695816,8,0.0,0,0.0,0,0.0,0,0.858769525,15,0.997422665,2,0.664762395,3,0.664783895,3,0.752639919,100,0.0,0,0.831959546,2,0.887004739,5,0.356500924,65,0.995023906,3,0.50489187,7,0.649053995,82,0.644764438,17,0.34173439,3,0.809632466,11,0.702928101,37
2022-10-20,0.557416783,100,0.997725621,4,0.99292953,5,0.0,0,0.442529675,9,0.0,0,0.735414576,66,0.968859851,1,0.996775985,2,0.655927631,59,0.976338804,1,0.773211312,4,0.410381195,5,0.559746641,6,0.0,0,0.048656128,1,0.697701409,2,0.0,0,0.0,0,0.652530641,3,0.786928133,49,0.0,0,0.809157422,8,0.003820081,1,0.0,0,0.854735448,7,0.647345548,3,0.775077839,9,0.334476758,3,0.995090097,2,0.700284556,10,0.816798017,11,0.750830855,25,0.621412497,11,0.0,0,0.659827523,9,0.001833736,1,0.879316994,8,0.908017973,3,0.0,0,0.500187909,2,0.997864872,2,0.937748876,9,0.851621732,7,0.502082984,27,0.902251542,6,0.504924023,4,0.0,0,0.813414301,41,0.70528378,9,0.995903596,4,0.914051693,8,0.0,0,0.797647689,5,0.997170746,1,0.975697815,1,0.824409776,17,0.370960153,10,0.0,0,0.580471344,7,0.994911373,1,0.910683125,8,0.0,0,0.46776951,100,0.99822855,1,0.501311446,2,0.0,0,0.978672206,2,0.655073597,30,0.0,0,0.596554981,85,0.402825105,15,0.606476886,36,0.784251928,31,0.998292863,1,0.850472387,7,0.0,0,0.671252294,20,0.571749577,7,0.718932052,3,0.749542107,4,0.528192878,6,0.997024775,1,0.0,0,0.0,0,0.805457451,100,0.505772631,4,0.994489849,3,0.0,0,0.607696067,100,0.995496005,2,0.553122174,2,0.642813956,20,0.39870769,89,0.532874029,2,0.347796778,3,0.774746414,9,0.670147051,18,0.890779436,2,0.86806083,8,0.466555192,16
2022-10-19,0.679601163,100,0.994791657,2,0.765989136,20,0.994799912,3,0.936876748,45,0.0,0,0.898222252,58,0.0,0,0.004682287,1,0.7120926,57,0.994799912,2,0.971455991,3,0.799593811,10,0.911969389,13,0.977007657,2,0.994360805,1,0.99618566,1,0.975052464,5,0.0,0,0.980491519,2,0.72712323,36,0.994799912,13,0.333057845,6,0.817168981,3,0.0,0,0.996273041,3,0.544179238,4,0.922552243,14,0.0,0,0.978774533,4,0.74664233,16,0.410742011,3,0.747764954,16,0.707340941,7,0.991822988,2,0.594258598,7,0.0,0,0.872495344,8,0.4982112,4,0.0,0,0.749081906,4,0.99397856,1,0.901827407,11,0.769780891,12,0.832542773,22,0.365740172,8,0.977235059,6,0.004682287,1,0.815604105,77,0.996196151,5,0.490392136,9,0.876622015,15,0.998235047,1,0.644191546,4,0.99475503,1,0.987778425,3,0.843663636,20,0.360586681,9,0.095943095,2,0.393132258,5,0.0,0,0.967501283,11,0.995910287,1,0.66234588,100,0.810845643,2,0.973086774,1,0.478124242,4,0.924904168,1,0.644031717,35,0.997547626,1,0.682247168,100,0.666174564,6,0.937591754,47,0.996979322,7,0.493333332,2,0.782615464,5,0.671030906,40,0.97259295,3,0.808541634,16,0.988800824,1,0.998378813,2,0.548588618,11,0.996344765,3,0.991335928,1,0.506298861,2,0.985187461,6,0.0,0,0.658282818,3,0.0,0,0.605281328,100,0.0,0,0.978347778,4,0.0,0,0.334590514,88,0.0,0,0.992520213,4,0.598332815,10,0.703595536,14,0.951410294,2,0.599535629,5,0.578949268,36
2022-10-18,0.587157523,100,0.0,0,0.997574866,3,0.997721434,1,0.774755224,29,0.0,0,0.599029731,61,0.004504164,1,0.997508705,1,0.60321103,73,0.001068124,1,0.513909699,2,0.708480118,7,0.792257846,20,0.734234206,4,0.0,0,0.001215141,1,0.0,0,0.0,0,0.499708136,2,0.886272505,70,0.995162964,3,0.658680286,25,0.995612979,1,0.0,0,0.663134559,3,0.680438047,6,0.706600904,69,0.428966218,7,0.997716099,2,0.646145876,9,0.0,0,0.683014807,22,0.774814963,2,0.0,0,0.404326568,5,0.0,0,0.632485255,6,0.399733241,5,0.998237073,1,0.998346388,1,0.345923394,1,0.712046747,7,0.995696181,10,0.684697095,13,0.606493416,100,0.499385902,2,0.997376462,3,0.805108969,14,0.618173136,29,0.654827919,64,0.422662219,24,0.0,0,0.991585016,5,0.0,0,0.983129382,1,0.924472077,59,0.000965017,1,0.333621355,3,0.805790596,7,0.975151598,1,0.997413496,3,0.501214735,2,0.498592814,100,0.001193579,2,0.779947986,3,0.996493004,8,0.278525116,4,0.363293013,47,0.986159801,1,0.596760439,100,0.006777614,2,0.753467862,27,0.884905004,9,0.737294297,4,0.78032136,3,0.995074352,3,0.997995079,1,0.568878553,7,0.987574577,1,0.0,0,0.98707664,1,0.988370895,1,0.992727244,5,0.666274324,3,0.972784102,4,0.765525374,13,0.0,0,0.989638209,1,0.662483574,100,0.994799912,2,0.870825063,8,0.982464671,2,0.376900078,75,0.667543676,3,0.335237938,3,0.988113582,4,0.553373612,59,0.746006828,9,0.93122884,16,0.513481566,16
2022-10-17,0.660987228,100,0.170438413,6,0.666816329,3,0.992846429,1,0.994777405,5,0.0,0,0.722143509,39,0.002337359,1,0.0,0,0.815915065,56,0.998301685,1,0.744269373,4,0.714911525,17,0.750410678,100,0.848377176,11,0.0,0,0.501365397,2,0.498048775,2,0.028766358,1,0.424085138,7,0.872134729,100,0.0,0,0.665058405,3,0.997527625,7,0.0,0,0.0,0,0.312322632,10,0.008820693,1,0.0,0,0.742696072,7,0.994119708,13,0.524431026,2,0.99620854,7,0.600626695,20,0.997283921,4,0.346247074,12,0.994281441,2,0.148654063,7,0.748376139,8,0.0,0,0.0,0,0.858023476,9,0.983131746,6,0.706030084,14,0.829580957,12,0.734267297,40,0.005732425,1,0.0,0,0.767456731,13,0.546969777,18,0.835222993,8,0.762391721,34,0.995365977,1,0.501737956,2,0.996922255,1,0.574511013,5,0.725242513,4,0.991487741,1,0.95007879,17,0.545244018,5,0.0,0,0.997115115,6,0.997547925,2,0.516943339,100,0.246865667,4,0.334640379,3,0.749426326,4,0.571269033,7,0.715363963,27,0.0,0,0.682061375,100,0.991745932,7,0.735824454,27,0.99761703,5,0.17582791,2,0.975872505,5,0.288708775,4,0.0,0,0.815220392,11,0.997976184,2,0.996920526,1,0.334118669,3,0.510582462,35,0.998233795,1,0.986708879,1,0.994259626,2,0.649349945,4,0.991088808,1,0.763762796,4,0.720379113,100,0.997135639,1,0.756769452,11,0.989692509,1,0.323135809,72,0.897234036,11,0.274753809,6,0.766990056,4,0.665529885,12,0.791749069,8,0.964860886,2,0.384001549,13
2022-10-14,0.659370407,100,0.889926434,2,0.978033036,2,0.996815354,2,0.610229446,5,0.99724704,1,0.719674621,54,0.0,0,0.977490216,2,0.628444112,98,0.004504164,1,0.001341444,2,0.712863731,7,0.649798328,17,0.969231576,2,0.333234267,3,0.745982362,8,0.707659073,4,0.0,0,0.687290555,50,0.733663753,72,0.0,0,0.74750737,4,0.761086516,7,0.002984623,1,0.0,0,0.692778116,10,0.99648425,2,0.612065613,2,0.99848485,1,0.250595344,4,0.0,0,0.725983716,8,0.508633137,3,0.997415394,2,0.006511033,3,0.0,0,0.501376789,10,0.998638511,2,0.0,0,0.335569111,3,0.99759233,1,0.746339332,4,0.499798653,8,0.268160473,9,0.587593863,8,0.016875234,2,0.0,0,0.826849863,6,0.933819811,3,0.499977523,2,0.570173302,100,0.681660758,10,0.868301536,8,0.996761769,2,0.512925989,4,0.003152337,1,0.116057336,3,0.510255696,3,0.996315079,18,0.994664192,1,0.713994255,6,0.004985138,1,0.459336661,100,0.06775033,2,0.995524734,2,0.830547725,6,0.485231676,56,0.609639856,37,0.955196351,4,0.723097574,74,0.271723038,11,0.587472369,43,0.997086823,1,0.501340331,4,0.054453003,2,0.592155465,5,0.637852043,10,0.51487869,13,0.83693476,8,0.004504164,1,0.497797715,8,0.630635697,11,0.996024609,1,0.995874941,2,0.714405185,5,0.461561489,15,0.990151703,1,0.0,0,0.560288081,100,0.996534109,1,0.764828902,44,0.0,0,0.269760086,84,0.604451953,21,0.503245413,4,0.997359931,3,0.904245611,12,0.555760621,69,0.569500058,7,0.491043736,10
2022-10-13,0.777949587,100,0.978181511,2,0.018420415,1,0.99725765,1,0.992116971,7,0.997743309,1,0.791428113,63,0.793484688,5,0.791753935,5,0.63460997,100,0.831793308,2,0.484294917,11,0.59798288,10,0.868444427,18,0.0,0,0.997011304,1,0.653118076,36,0.725984484,2,0.998238325,1,0.694930826,10,0.744102905,57,0.996249477,3,0.554955612,9,0.950134201,7,0.33432543,5,0.771521777,3,0.61218595,11,0.731028784,5,0.997135639,1,0.67841809,3,0.812813412,25,0.0,0,0.615211863,15,0.726742419,20,0.994799912,2,0.574965759,10,0.0,0,0.931901308,16,0.808641261,5,0.0,0,0.761723515,4,0.914252564,4,0.844484591,7,0.647360112,13,0.652000544,31,0.699756369,10,0.200065097,5,0.500539123,2,0.925973203,9,0.727018603,15,0.886546373,3,0.421506921,100,0.660537456,3,0.634616854,8,0.998111725,3,0.593847291,5,0.012993075,2,0.996968985,1,0.723194107,5,0.87261745,14,0.0,0,0.90272254,25,0.0,0,0.56466773,100,0.855090039,7,0.633039501,3,0.805801481,2,0.608573891,4,0.727374874,68,0.797876703,5,0.752468099,100,0.654722599,15,0.786042467,40,0.995665073,1,0.729404284,15,0.600942487,4,0.884721001,3,0.665486872,1,0.283702576,28,0.908317745,4,0.505705133,2,0.411430845,15,0.9962717,2,0.996312082,1,0.993378103,1,0.73611401,7,0.709726592,11,0.0,0,0.00108097,5,0.699063855,100,0.646604794,3,0.788245204,6,0.989801049,1,0.439033036,87,0.997701228,1,0.27950278,6,0.954647832,8,0.772062518,48,0.652960254,6,0.245605752,8,0.533070402,28
2022-10-12,0.513698143,100,0.739899544,5,0.998208642,1,0.995044897,6,0.910907577,36,0.867933136,5,0.720770029,70,0.678969861,7,0.800380394,4,0.79344693,66,0.496849773,4,0.499840423,4,0.859375574,17,0.728210127,26,0.817594703,6,0.994855285,2,0.782061515,14,0.498931791,2,0.0,0,0.667433696,9,0.821250536,41,0.932816873,16,0.603681694,5,0.741612851,14,0.0,0,0.985320777,2,0.642694183,6,0.8086078,16,0.995727831,10,0.500949989,2,0.8357583,15,0.997355014,2,0.838176938,32,0.789483953,10,0.746815772,4,0.582146128,6,0.0,0,0.755258557,17,0.959239036,6,0.489455662,2,0.995141953,2,0.997906834,4,0.796835373,10,0.745722967,16,0.582732141,17,0.846922091,20,0.001367961,4,0.99745808,3,0.592447707,8,0.704950386,45,0.438732048,5,0.424126206,22,0.997881711,2,0.996737882,8,0.0,0,0.332469644,3,0.995852381,2,0.070317573,3,0.498827314,2,0.523830429,7,0.0,0,0.942158762,19,0.003010492,1,0.705111943,100,0.500015431,2,0.896352854,20,0.430880915,7,0.468689717,4,0.720121111,58,0.336733496,3,0.756361501,89,0.645647714,12,0.823435578,55,0.993404359,4,0.789496638,100,0.388538481,20,0.665014299,3,0.990281443,3,0.689840882,62,0.665834119,6,0.996198535,3,0.182803123,6,0.995531261,1,0.997548193,2,0.0,0,0.6262102,8,0.296945317,4,0.980535626,2,0.995781104,3,0.82762754,100,0.996668398,2,0.843314695,7,0.995928407,3,0.43818592,75,0.0,0,0.748675321,8,0.62353792,8,0.767230983,25,0.998219232,3,0.68368804,10,0.813361654,11
2022-10-11,0.660198869,100,0.987799257,2,0.0,0,0.989513472,4,0.549367469,8,0.997110009,1,0.707849711,66,0.91313976,26,0.998093545,1,0.531738885,67,0.747801001,4,0.995775908,2,0.740412422,34,0.508452522,23,0.996994555,3,0.0,0,0.208014458,14,0.99691385,1,0.0,0,0.28838165,7,0.822445579,52,0.0,0,0.84053242,7,0.024526607,1,0.004682287,1,0.007257138,1,0.659540246,16,0.694913633,10,0.905538425,4,0.686393199,10,0.665264002,8,0.0,0,0.653438492,26,0.524050744,5,0.996312082,1,0.590857761,10,0.998090804,1,0.792774138,23,0.013425533,4,0.0,0,0.622696995,8,0.779588785,6,0.578632224,14,0.570886708,14,0.751609159,23,0.589177785,5,0.636957213,5,0.0,0,0.572277306,9,0.505711282,45,0.890411913,4,0.68521762,10,0.997601469,3,0.528849917,7,0.994799912,1,0.001708446,7,0.007397409,3,0.510571082,3,0.005858053,1,0.594140624,5,0.0,0,0.762349784,4,0.997035325,1,0.559971672,100,0.997362614,1,0.82770637,37,0.863865262,8,0.001875536,3,0.695469803,39,0.99629426,2,0.597634513,88,0.333806462,5,0.680637204,44,0.996107697,1,0.620157715,8,0.41250667,5,0.837563449,6,0.995449781,1,0.290056361,86,0.729393105,8,0.024401689,1,0.500559503,2,0.0,0,0.0,0,0.996316711,3,0.523398938,4,0.533861049,8,0.0,0,0.001391908,4,0.609848179,100,0.745811677,4,0.989187956,2,0.0,0,0.363240058,70,0.0,0,0.746080991,4,0.712742591,7,0.778320483,23,0.7421132,4,0.69249156,28,0.394376506,5
2022-10-10,0.677672677,100,0.993768126,2,0.994844079,2,0.612359747,2,0.934439196,17,0.998018801,3,0.654790589,98,0.771489309,8,0.499651888,4,0.661485796,57,0.884106607,9,0.732729256,1,0.785453635,30,0.664668743,3,0.0,0,0.664609462,3,0.253753209,4,0.501335388,2,0.0,0,0.736944795,10,0.883063045,52,0.018026236,2,0.714898838,7,0.0,0,0.0,0,0.333404117,3,0.521696773,5,0.994799912,1,0.998059034,1,0.0,0,0.99675964,9,0.991088808,1,0.834184538,11,0.864384037,5,0.831879675,2,0.005023395,2,0.998338103,1,0.372061323,57,0.173845915,17,0.501212887,2,0.010690687,1,0.728238791,3,0.229907322,18,0.435492328,5,0.709094743,12,0.280276249,5,0.845981275,6,0.0,0,0.79587362,10,0.632456731,20,0.996748358,2,0.237670648,29,0.886865472,6,0.831031881,6,0.0,0,0.982589006,3,0.746569566,5,0.349000179,3,0.466253436,2,0.500374801,4,0.007407199,1,0.90355435,6,0.001172101,1,0.484361984,100,0.997224212,1,0.994056672,2,0.811692711,26,0.351405547,9,0.494568026,43,0.998520255,1,0.672340699,28,0.659586301,12,0.511018114,68,0.996332228,2,0.209588995,5,0.402758802,6,0.433586612,4,0.00555904,1,0.306067851,100,0.505771055,4,0.598498166,8,0.001126111,1,0.0,0,0.530738056,1,0.99680081,2,0.586800726,10,0.83461147,5,0.03781621,2,0.0,0,0.682442146,100,0.994799912,1,0.4926442,4,0.002002419,1,0.286581785,68,0.0,0,0.3323688,3,0.601509351,10,0.433789279,82,0.0,0,0.740259399,6,0.470817819,12
